=== 量子线路训练数据记录 (Loss & Landscape) ===

========== 开始训练 2 比特线路 ==========
参数数量: 1 | 学习率: 0.1 | 训练轮次: 50
Epoch  12 | Loss: -2.508813 | Params: [0.8492, 0.7998, -0.2320, 0.4485, 0.5831, -0.6468, 0.1139, 0.5121, -0.1393, -0.6533, -0.4478, -0.9969]
Epoch  13 | Loss: -2.501005 | Params: [0.9092, 0.8177, -0.2568, 0.4740, 0.6352, -0.6710, 0.1323, 0.5048, -0.1334, -0.6525, -0.4034, -1.0132]
Epoch  14 | Loss: -2.506490 | Params: [0.9624, 0.8193, -0.2762, 0.4925, 0.6703, -0.6886, 0.1749, 0.5160, -0.0933, -0.6187, -0.3469, -0.9954]
Epoch  15 | Loss: -2.507877 | Params: [1.0267, 0.8106, -0.2839, 0.5183, 0.6948, -0.6808, 0.2030, 0.5273, -0.0602, -0.6062, -0.3062, -0.9823]
Epoch  16 | Loss: -2.506776 | Params: [1.0393, 0.7984, -0.2921, 0.5303, 0.7187, -0.6561, 0.2178, 0.5438, -0.0455, -0.6139, -0.2801, -1.0121]
Epoch  17 | Loss: -2.498653 | Params: [1.0199, 0.7646, -0.3072, 0.5149, 0.7278, -0.6565, 0.2078, 0.5379, -0.0535, -0.6368, -0.2686, -1.0373]
Epoch  18 | Loss: -2.514451 | Params: [0.9980, 0.7319, -0.3227, 0.4807, 0.7382, -0.6825, 0.1780, 0.5386, -0.0910, -0.6838, -0.2730, -1.0757]
Epoch  19 | Loss: -2.505258 | Params: [1.0023, 0.7238, -0.3231, 0.4426, 0.7289, -0.7078, 0.1602, 0.5269, -0.1188, -0.7172, -0.2826, -1.1019]
Epoch  20 | Loss: -2.497704 | Params: [1.0088, 0.7128, -0.3186, 0.4336, 0.7409, -0.6992, 0.1498, 0.5130, -0.1380, -0.7216, -0.2637, -1.0973]
Epoch  21 | Loss: -2.491625 | Params: [1.0063, 0.6873, -0.3143, 0.4259, 0.7445, -0.6842, 0.1570, 0.5170, -0.1371, -0.7189, -0.2445, -1.0840]
Epoch  22 | Loss: -2.499019 | Params: [1.0058, 0.6554, -0.3062, 0.4125, 0.7312, -0.6706, 0.1794, 0.5402, -0.1188, -0.7146, -0.2331, -1.0661]
Epoch  23 | Loss: -2.512932 | Params: [0.9974, 0.6004, -0.3007, 0.3965, 0.7042, -0.6576, 0.2012, 0.5262, -0.1019, -0.7064, -0.2281, -1.0400]
Epoch  24 | Loss: -2.507392 | Params: [0.9963, 0.5690, -0.2909, 0.4006, 0.6888, -0.6296, 0.2271, 0.5089, -0.0808, -0.6997, -0.2361, -1.0135]
Epoch  25 | Loss: -2.514873 | Params: [0.9717, 0.5196, -0.2974, 0.3840, 0.6419, -0.6262, 0.1788, 0.4533, -0.1305, -0.7052, -0.2530, -0.9869]
Epoch  26 | Loss: -2.490661 | Params: [0.9557, 0.4934, -0.3006, 0.3788, 0.6072, -0.6141, 0.1373, 0.4033, -0.1730, -0.6994, -0.2641, -0.9493]
Epoch  27 | Loss: -2.469662 | Params: [0.9443, 0.4752, -0.3003, 0.3763, 0.5744, -0.5975, 0.1021, 0.3593, -0.2085, -0.6884, -0.2723, -0.9076]
Epoch  28 | Loss: -2.460898 | Params: [0.9321, 0.4598, -0.2992, 0.3727, 0.5408, -0.5804, 0.0719, 0.3195, -0.2390, -0.6733, -0.2797, -0.8639]
Epoch  29 | Loss: -2.457413 | Params: [0.9125, 0.4409, -0.3002, 0.3668, 0.5083, -0.5629, 0.0457, 0.2839, -0.2648, -0.6544, -0.2827, -0.8193]
Epoch  30 | Loss: -2.454745 | Params: [0.8972, 0.4291, -0.2974, 0.3589, 0.4761, -0.5457, 0.0228, 0.2516, -0.2872, -0.6322, -0.2777, -0.7746]
Epoch  31 | Loss: -2.454902 | Params: [0.8829, 0.4203, -0.2926, 0.3503, 0.4443, -0.5288, 0.0028, 0.2225, -0.3066, -0.6068, -0.2640, -0.7300]
Epoch  32 | Loss: -2.458360 | Params: [0.8660, 0.4102, -0.2866, 0.3408, 0.4102, -0.5120, -0.0150, 0.1958, -0.3238, -0.5797, -0.2426, -0.6861]
Epoch  33 | Loss: -2.462139 | Params: [0.8492, 0.3966, -0.2816, 0.3340, 0.3791, -0.4958, -0.0305, 0.1711, -0.3401, -0.5528, -0.2152, -0.6446]
Epoch  34 | Loss: -2.466890 | Params: [0.8486, 0.3949, -0.2773, 0.3318, 0.3509, -0.4801, -0.0435, 0.1491, -0.3556, -0.5278, -0.1858, -0.6076]
Epoch  35 | Loss: -2.467193 | Params: [0.8520, 0.3964, -0.2737, 0.3326, 0.3232, -0.4626, -0.0547, 0.1292, -0.3703, -0.5057, -0.1607, -0.5778]
Epoch  36 | Loss: -2.467072 | Params: [0.8577, 0.4035, -0.2707, 0.3362, 0.2979, -0.4354, -0.0643, 0.1118, -0.3839, -0.4868, -0.1423, -0.5568]
Epoch  37 | Loss: -2.463967 | Params: [0.8688, 0.4170, -0.2631, 0.3379, 0.2757, -0.4202, -0.0729, 0.0967, -0.3966, -0.4752, -0.1288, -0.5477]
Epoch  38 | Loss: -2.464361 | Params: [0.8900, 0.4411, -0.2503, 0.3394, 0.2569, -0.4108, -0.0811, 0.0839, -0.4091, -0.4724, -0.1179, -0.5506]
Epoch  39 | Loss: -2.474116 | Params: [0.8644, 0.4207, -0.2594, 0.3341, 0.2386, -0.4081, -0.0892, 0.0748, -0.4210, -0.4900, -0.1094, -0.5756]
Epoch  40 | Loss: -2.462966 | Params: [0.8453, 0.4112, -0.2620, 0.3263, 0.2244, -0.4076, -0.0940, 0.0686, -0.4287, -0.4963, -0.1023, -0.5919]
Epoch  41 | Loss: -2.457916 | Params: [0.8281, 0.4093, -0.2589, 0.3150, 0.2142, -0.4084, -0.0967, 0.0650, -0.4334, -0.4989, -0.0968, -0.6056]
Epoch  42 | Loss: -2.457355 | Params: [0.8104, 0.4141, -0.2505, 0.3002, 0.2072, -0.4096, -0.0980, 0.0638, -0.4352, -0.5002, -0.0927, -0.6178]
Epoch  43 | Loss: -2.460042 | Params: [0.7878, 0.4247, -0.2372, 0.2832, 0.2030, -0.4093, -0.0982, 0.0648, -0.4344, -0.5031, -0.0910, -0.6290]
Epoch  44 | Loss: -2.467114 | Params: [0.8070, 0.4403, -0.2185, 0.2751, 0.2010, -0.4058, -0.0939, 0.0679, -0.4311, -0.4771, -0.0930, -0.6393]
Epoch  45 | Loss: -2.469476 | Params: [0.8215, 0.4616, -0.1935, 0.2664, 0.2010, -0.3981, -0.0886, 0.0728, -0.4244, -0.4550, -0.1012, -0.6470]
Epoch  46 | Loss: -2.478082 | Params: [0.8290, 0.4805, -0.1747, 0.2564, 0.2010, -0.4017, -0.0814, 0.0794, -0.4147, -0.4319, -0.1166, -0.6337]
Epoch  47 | Loss: -2.480170 | Params: [0.8370, 0.4979, -0.1622, 0.2509, 0.1986, -0.4199, -0.0737, 0.0862, -0.4073, -0.4105, -0.1358, -0.6131]
Epoch  48 | Loss: -2.481542 | Params: [0.8433, 0.5123, -0.1550, 0.2526, 0.1998, -0.4301, -0.0644, 0.0965, -0.4020, -0.4033, -0.1569, -0.6097]
Epoch  49 | Loss: -2.475991 | Params: [0.8431, 0.5176, -0.1489, 0.2517, 0.1963, -0.4414, -0.0575, 0.1053, -0.4015, -0.4038, -0.1775, -0.6195]
Epoch  50 | Loss: -2.477302 | Params: [0.8484, 0.5280, -0.1373, 0.2436, 0.1838, -0.4630, -0.0524, 0.1133, -0.4063, -0.4106, -0.1962, -0.6413]
--- 7 比特训练完成 ---


========== 开始训练 8 比特线路 ==========
参数数量: 16 | 学习率: 0.1 | 训练轮次: 50
Epoch   1 | Loss: -2.488150 | Params: [-0.1000, -0.1000, 0.1000, -0.1000, -0.1000, 0.1000, -0.1000, -0.1000, 0.1000, -0.1000, -0.1000, -0.1000, 0.1000, 0.1000, 0.1000, 0.1000]
Epoch   2 | Loss: -2.510534 | Params: [-0.1518, -0.1496, 0.1839, -0.0590, -0.1321, 0.0300, -0.1982, -0.2000, 0.0509, -0.1897, -0.1778, -0.1906, 0.1998, 0.0653, 0.1997, 0.1552]
Epoch   3 | Loss: -2.516071 | Params: [-0.1190, -0.1183, 0.2749, 0.0111, -0.1258, -0.0168, -0.2232, -0.2083, -0.0194, -0.2537, -0.2447, -0.2577, 0.2936, 0.0874, 0.2947, 0.2319]
